ROCKET MAGES NET LOG
[17.770326614379883]: Sent character data
[17.7863290309906]: Sent character data
[17.8033344745636]: Sent character data
[17.821335554122925]: Sent character data
[17.837337970733643]: Sent character data
[17.85534167289734]: Sent character data
[17.87242555618286]: Sent character data
[17.88934898376465]: Sent character data
[17.90543222427368]: Sent character data
[17.92243528366089]: Sent character data
[17.939359188079834]: Sent character data
[17.95636248588562]: Sent character data
[17.974364757537842]: Sent character data
[17.99036693572998]: Sent character data
[18.008373260498047]: Sent character data
[18.02445697784424]: Sent character data
[18.042380571365356]: Sent character data
[18.06038498878479]: Sent character data
[18.076387643814087]: Sent character data
[18.093392610549927]: Sent character data
[18.110392093658447]: Sent character data
[18.127394437789917]: Sent character data
[18.144479513168335]: Sent character data
[18.16140651702881]: Sent character data
[18.17840552330017]: Sent character data
[18.195409774780273]: Sent character data
[18.212411880493164]: Sent character data
[18.229416131973267]: Sent character data
[18.246418714523315]: Sent character data
[18.26242208480835]: Sent character data
[18.279428958892822]: Sent character data
[18.29643225669861]: Sent character data
[18.3134343624115]: Sent character data
[18.33043336868286]: Sent character data
[18.347437620162964]: Sent character data
[18.364441871643066]: Sent character data
[18.382465839385986]: Sent character data
[18.3984477519989]: Sent character data
[18.416452407836914]: Sent character data
[18.431535005569458]: Sent character data
[18.448457956314087]: Sent character data
[18.466461181640625]: Sent character data
[18.482544898986816]: Sent character data
[18.500467538833618]: Sent character data
[18.516473054885864]: Sent character data
[18.5335533618927]: Sent character data
[18.5504789352417]: Sent character data
[18.5674831867218]: Sent character data
[18.583487272262573]: Sent character data
[18.600486755371094]: Sent character data
[18.61849308013916]: Sent character data
[18.634494304656982]: Sent character data
[18.652579069137573]: Sent character data
[18.669506549835205]: Sent character data
[18.68650507926941]: Sent character data
[18.70259118080139]: Sent character data
[18.72051453590393]: Sent character data
[18.735594749450684]: Sent character data
[18.752694606781006]: Sent character data
[18.76961874961853]: Sent character data
[18.786618947982788]: Sent character data
[18.803703546524048]: Sent character data
[18.820626974105835]: Sent character data
[18.837709665298462]: Sent character data
[18.85463309288025]: Sent character data
[18.871915817260742]: Sent character data
[18.88883638381958]: Sent character data
[18.90584111213684]: Sent character data
[18.92284369468689]: Sent character data
[18.939847946166992]: Sent character data
[18.956850290298462]: Sent character data
[18.974854707717896]: Sent character data
[18.99093508720398]: Sent character data
[19.008862495422363]: Sent character data
[19.024863481521606]: Sent character data
[19.042871475219727]: Sent character data
[19.059874296188354]: Sent character data
[19.07587480545044]: Sent character data
[19.092878103256226]: Sent character data
[19.10988163948059]: Sent character data
[19.126883506774902]: Sent character data
[19.143969297409058]: Sent character data
[19.160970449447632]: Sent character data
[19.17689275741577]: Sent character data
[19.194986820220947]: Sent character data
[19.211902618408203]: Sent character data
[19.227904558181763]: Sent character data
[19.245909690856934]: Sent character data
[19.262912273406982]: Sent character data
[19.278913021087646]: Sent character data
[19.295998096466064]: Sent character data
[19.313002109527588]: Sent character data
[19.329925060272217]: Sent character data
[19.34700655937195]: Sent character data
[19.363927602767944]: Sent character data
[19.38193130493164]: Sent character data
[19.399017095565796]: Sent character data
[19.415935277938843]: Sent character data
[19.432021617889404]: Sent character data
[19.449025869369507]: Sent character data
[19.46698760986328]: Sent character data
[19.482948064804077]: Sent character data
[19.50097942352295]: Sent character data
[19.51703667640686]: Sent character data
[19.534958362579346]: Sent character data
[19.551963806152344]: Sent character data
[19.568966150283813]: Sent character data
[19.586188554763794]: Sent character data
[19.60227108001709]: Sent character data
[19.62019634246826]: Sent character data
[19.637199640274048]: Sent character data
[19.65320062637329]: Sent character data
[19.670206785202026]: Sent character data
[19.68720769882202]: Sent character data
[19.70521116256714]: Sent character data
[19.72129464149475]: Sent character data
[19.739216566085815]: Sent character data
[19.756223440170288]: Sent character data
[19.773224115371704]: Sent character data
[19.790230751037598]: Sent character data
[19.806230545043945]: Sent character data
[19.82423424720764]: Sent character data
[19.840240001678467]: Sent character data
[19.857279539108276]: Sent character data
[19.87324357032776]: Sent character data
[19.890249967575073]: Sent character data
[19.908252716064453]: Sent character data
[19.92533779144287]: Sent character data
[19.942257165908813]: Sent character data
[19.959261894226074]: Sent character data
[19.976266384124756]: Sent character data
[19.992267370224]: Sent character data
[20.009303092956543]: Sent character data
[20.027305841445923]: Sent character data
[20.04432225227356]: Sent character data
[20.062313318252563]: Sent character data
[20.078316926956177]: Sent character data
[20.095319271087646]: Sent character data
[20.112322330474854]: Sent character data
[20.129323720932007]: Sent character data
[20.145406484603882]: Sent character data
[20.16240692138672]: Sent character data
[20.179412603378296]: Sent character data
[20.197335481643677]: Sent character data
[20.213417053222656]: Sent character data
[20.230345726013184]: Sent character data
[20.247344970703125]: Sent character data
[20.264429092407227]: Sent character data
[20.2813503742218]: Sent character data
[20.29835557937622]: Sent character data
[20.315436601638794]: Sent character data
[20.332440853118896]: Sent character data
[20.349366903305054]: Sent character data
[20.366368055343628]: Sent character data
[20.383373975753784]: Sent character data
[20.400453329086304]: Sent character data
[20.417378902435303]: Sent character data
[20.435380697250366]: Sent character data
[20.4513840675354]: Sent character data
[20.46838688850403]: Sent character data
[20.48639154434204]: Sent character data
[20.50247311592102]: Sent character data
[20.520397186279297]: Sent character data
[20.538400650024414]: Sent character data
[20.555404663085938]: Sent character data
[20.572407484054565]: Sent character data
[20.589417219161987]: Sent character data
[20.60549283027649]: Sent character data
[20.622496843338013]: Sent character data
[20.63942313194275]: Sent character data
[20.65742540359497]: Sent character data
[20.67450761795044]: Sent character data
[20.691431283950806]: Sent character data
[20.708434581756592]: Sent character data
[20.72443437576294]: Sent character data
[20.740437984466553]: Sent character data
[20.757441520690918]: Sent character data
[20.774523496627808]: Sent character data
[20.7924485206604]: Sent character data
[20.80946135520935]: Sent character data
[20.826454401016235]: Sent character data
[20.842458248138428]: Sent character data
[20.86047625541687]: Sent character data
[20.87765645980835]: Sent character data
[20.894656658172607]: Sent character data
[20.910605669021606]: Sent character data
[20.927688121795654]: Sent character data
[20.945611476898193]: Sent character data
[20.96269726753235]: Sent character data
[20.979623794555664]: Sent character data
[20.99562382698059]: Sent character data
[21.012624502182007]: Sent character data
[21.029630184173584]: Sent character data
[21.04663372039795]: Sent character data
[21.064637184143066]: Sent character data
[21.080637454986572]: Sent character data
[21.097642183303833]: Sent character data
[21.114647150039673]: Sent character data
[21.131728172302246]: Sent character data
[21.149654865264893]: Sent character data
[21.165736436843872]: Sent character data
[21.182658433914185]: Sent character data
[21.200743913650513]: Sent character data
[21.217669248580933]: Sent character data
[21.233667850494385]: Sent character data
[21.250672578811646]: Sent character data
[21.267674446105957]: Sent character data
[21.285677671432495]: Sent character data
[21.30268430709839]: Sent character data
[21.319766759872437]: Sent character data
[21.33568811416626]: Sent character data
[21.352692127227783]: Sent character data
[21.369699478149414]: Sent character data
[21.386706113815308]: Sent character data
[21.40480399131775]: Sent character data
[21.42084550857544]: Sent character data
[21.437812566757202]: Sent character data
[21.45389413833618]: Sent character data
[21.470897912979126]: Sent character data
[21.487900972366333]: Sent character data
[21.50500178337097]: Sent character data
[21.521923065185547]: Sent character data
[21.53900671005249]: Sent character data
[21.555926084518433]: Sent character data
[21.573010683059692]: Sent character data
[21.591207027435303]: Sent character data
[21.607213020324707]: Sent character data
[21.625137090682983]: Sent character data
[21.642236471176147]: Sent character data
[21.659247398376465]: Sent character data
[21.676321744918823]: Sent character data
[21.69329071044922]: Sent character data
[21.709256649017334]: Sent character data
[21.727307558059692]: Sent character data
[21.74335289001465]: Sent character data
[21.76136040687561]: Sent character data
[21.77825951576233]: Sent character data
[21.796261310577393]: Sent character data
[21.811794996261597]: Sent character data
[21.828798532485962]: Sent character data
[21.84588360786438]: Sent character data
[21.861804485321045]: Sent character data
[21.87889051437378]: Sent character data
[21.89581060409546]: Sent character data
[21.912816762924194]: Sent character data
[21.92982268333435]: Sent character data
[21.946821689605713]: Sent character data
[21.9638249874115]: Sent character data
[21.980907917022705]: Sent character data
[21.99783205986023]: Sent character data
[22.014833211898804]: Sent character data
[22.03191900253296]: Sent character data
[22.048922061920166]: Sent character data
[22.06584334373474]: Sent character data
[22.08284878730774]: Sent character data
[22.099852323532104]: Sent character data
[22.116854906082153]: Sent character data
[22.133858680725098]: Sent character data
[22.151862621307373]: Sent character data
[22.167866230010986]: Sent character data
[22.184866428375244]: Sent character data
[22.201870918273926]: Sent character data
[22.219877004623413]: Sent character data
[22.235876321792603]: Sent character data
[22.25287961959839]: Sent character data
[22.26988649368286]: Sent character data
[22.286887168884277]: Sent character data
[22.303970098495483]: Sent character data
[22.321894884109497]: Sent character data
[22.337898015975952]: Sent character data
[22.35590100288391]: Sent character data
[22.37290859222412]: Sent character data
[22.389907598495483]: Sent character data
[22.40591049194336]: Sent character data
[22.422993183135986]: Sent character data
[22.439920663833618]: Sent character data
[22.45692014694214]: Sent character data
[22.47492742538452]: Sent character data
[22.491008043289185]: Sent character data
[22.5082266330719]: Sent character data
[22.52642035484314]: Sent character data
[22.542421102523804]: Sent character data
[22.560426235198975]: Sent character data
[22.57642960548401]: Sent character data
[22.593510627746582]: Sent character data
[22.61147141456604]: Sent character data
[22.627439498901367]: Sent character data
[22.644442319869995]: Sent character data
[22.661445140838623]: Sent character data
[22.677449941635132]: Sent character data
[22.694530248641968]: Sent character data
[22.712456226348877]: Sent character data
[22.72845768928528]: Sent character data
[22.74454140663147]: Sent character data
[22.76246428489685]: Sent character data
[22.7784686088562]: Sent character data
[22.795470476150513]: Sent character data
[22.81255269050598]: Sent character data
[22.82947826385498]: Sent character data
[22.846482753753662]: Sent character data
[22.863483905792236]: Sent character data
[22.880568027496338]: Sent character data
[22.89849090576172]: Sent character data
[22.91449499130249]: Sent character data
[22.931498289108276]: Sent character data
[22.94950294494629]: Sent character data
[22.96650242805481]: Sent character data
[22.982508182525635]: Sent character data
[22.99851107597351]: Sent character data
[23.016512155532837]: Sent character data
[23.032596111297607]: Sent character data
[23.049520254135132]: Sent character data
[23.0665225982666]: Sent character data
[23.083606004714966]: Sent character data
[23.100609302520752]: Sent character data
[23.117532968521118]: Sent character data
[23.134615898132324]: Sent character data
[23.15161895751953]: Sent character data
[23.168542623519897]: Sent character data
[23.184545278549194]: Sent character data
[23.20154905319214]: Sent character data
[23.218551874160767]: Sent character data
[23.235558032989502]: Sent character data
[23.25265598297119]: Sent character data
[23.269652366638184]: Sent character data
[23.286653518676758]: Sent character data
[23.303656339645386]: Sent character data
[23.320741176605225]: Sent character data
[23.33773946762085]: Sent character data
[23.355665922164917]: Sent character data
[23.37294101715088]: Sent character data
[23.388863563537598]: Sent character data
[23.40586829185486]: Sent character data
[23.42287278175354]: Sent character data
[23.440068244934082]: Sent character data
[23.459261417388916]: Sent character data
[23.476263761520386]: Sent character data
[23.492265939712524]: Sent character data
[23.509271144866943]: Sent character data
[23.52627205848694]: Sent character data
[23.54228186607361]: Sent character data
[23.560283660888672]: Sent character data
[23.57628321647644]: Sent character data
[23.594285011291504]: Sent character data
[23.61128830909729]: Sent character data
[23.628295421600342]: Sent character data
[23.645374536514282]: Sent character data
[23.662301301956177]: Sent character data
[23.679306983947754]: Sent character data
[23.69530439376831]: Sent character data
[23.71230936050415]: Sent character data
[23.729312896728516]: Sent character data
[23.746394872665405]: Sent character data
[23.763396978378296]: Sent character data
[23.78132390975952]: Sent character data
[23.79732632637024]: Sent character data
[23.814329862594604]: Sent character data
[23.830333948135376]: Sent character data
[23.847334623336792]: Sent character data
[23.86441659927368]: Sent character data
[23.881341218948364]: Sent character data
[23.898345232009888]: Sent character data
[23.91542887687683]: Sent character data
[23.932350397109985]: Sent character data
[23.949357509613037]: Sent character data
[23.966357707977295]: Sent character data
[23.984363079071045]: Sent character data
[24.000364542007446]: Sent character data
[24.018367290496826]: Sent character data
[24.03437113761902]: Sent character data
[24.051373720169067]: Sent character data
[24.068456888198853]: Sent character data
[24.086380004882812]: Sent character data
[24.10146450996399]: Sent character data
[24.118467569351196]: Sent character data
[24.135390281677246]: Sent character data
[24.152475118637085]: Sent character data
[24.169398069381714]: Sent character data
[24.187400817871094]: Sent character data
[24.203402757644653]: Sent character data
[24.220405340194702]: Sent character data
[24.23841118812561]: Sent character data
[24.253489017486572]: Sent character data
[24.271416187286377]: Sent character data
[24.287421941757202]: Sent character data
[24.304476261138916]: Sent character data
[24.321507453918457]: Sent character data
[24.338430643081665]: Sent character data
[24.356432914733887]: Sent character data
[24.371702671051025]: Sent character data
[24.38862419128418]: Sent character data
[24.405630826950073]: Sent character data
[24.421629905700684]: Sent character data
[24.439635038375854]: Sent character data
[24.455718994140625]: Sent character data
[24.472720623016357]: Sent character data
[24.48964524269104]: Sent character data
[24.50664734840393]: Sent character data
[24.52373218536377]: Sent character data
[24.540735244750977]: Sent character data
[24.558658599853516]: Sent character data
[24.575663328170776]: Sent character data
[24.59267020225525]: Sent character data
[24.609670877456665]: Sent character data
[24.626672506332397]: Sent character data
[24.64267635345459]: Sent character data
[24.65867829322815]: Sent character data
[24.676689863204956]: Sent character data
[24.692684173583984]: Sent character data
[24.710766315460205]: Sent character data
[24.727768421173096]: Sent character data
[24.743691444396973]: Sent character data
[24.761704444885254]: Sent character data
[24.77869749069214]: Sent character data
[24.795703411102295]: Sent character data
[24.8117036819458]: Sent character data
[24.828707933425903]: Sent character data
[24.845710277557373]: Sent character data
[24.862796783447266]: Sent character data
[24.879720449447632]: Sent character data
[24.89672303199768]: Sent character data
[24.913723945617676]: Sent character data
[24.930808544158936]: Sent character data
[24.947808742523193]: Sent character data
[24.964735746383667]: Sent character data
[24.981817483901978]: Sent character data
[24.997740745544434]: Sent character data
[25.01474380493164]: Sent character data
[25.031746864318848]: Sent character data
[25.049754858016968]: Sent character data
[25.065756797790527]: Sent character data
[25.081758737564087]: Sent character data
[25.098761558532715]: Sent character data
[25.115764379501343]: Sent character data
[25.13276743888855]: Sent character data
[25.14977192878723]: Sent character data
[25.166773796081543]: Sent character data
[25.18377661705017]: Sent character data
[25.20086145401001]: Sent character data
[25.21778392791748]: Sent character data
[25.234790325164795]: Sent character data
[25.251871824264526]: Sent character data
[25.268877029418945]: Sent character data
[25.2858784198761]: Sent character data
[25.30388331413269]: Sent character data
[25.319807767868042]: Sent character data
[25.33780813217163]: Sent character data
[25.354811906814575]: Sent character data
[25.370814085006714]: Sent character data
[25.387815952301025]: Sent character data
[25.404900550842285]: Sent character data
[25.422823190689087]: Sent character data
[25.438908338546753]: Sent character data
[25.45591115951538]: Sent character data
[25.4728364944458]: Sent character data
[25.489837646484375]: Sent character data
[25.50683903694153]: Sent character data
[25.52503752708435]: Sent character data
[25.542039394378662]: Sent character data
[25.560043334960938]: Sent character data
[25.57604694366455]: Sent character data
[25.594047784805298]: Sent character data
[25.611051559448242]: Sent character data
[25.628055334091187]: Sent character data
[25.64506220817566]: Sent character data
[25.66306495666504]: Sent character data
[25.68006730079651]: Sent character data
[25.696149110794067]: Sent character data
[25.712071418762207]: Sent character data
[25.729156494140625]: Sent character data
[25.746090173721313]: Sent character data
[25.763160467147827]: Sent character data
[25.781086683273315]: Sent character data
[25.797167539596558]: Sent character data
[25.815093278884888]: Sent character data
[25.831176280975342]: Sent character data
[25.84828519821167]: Sent character data
[25.86536979675293]: Sent character data
[25.88229537010193]: Sent character data
[25.900298595428467]: Sent character data
[25.91629910469055]: Sent character data
[25.93330669403076]: Sent character data
[25.95030665397644]: Sent character data
[25.967308044433594]: Sent character data
[25.984392166137695]: Sent character data
[26.0013165473938]: Sent character data
[26.018319129943848]: Sent character data
[26.036322593688965]: Sent character data
[26.05232572555542]: Sent character data
[26.069329261779785]: Sent character data
[26.08633303642273]: Sent character data
[26.1033353805542]: Sent character data
[26.12104821205139]: Sent character data
[26.13833713531494]: Sent character data
[26.155259609222412]: Sent character data
[26.17226219177246]: Sent character data
[26.188273668289185]: Sent character data
[26.205349683761597]: Sent character data
[26.22227168083191]: Sent character data
[26.239274740219116]: Sent character data
[26.256279706954956]: Sent character data
[26.27336359024048]: Sent character data
[26.290285348892212]: Sent character data
[26.308292865753174]: Sent character data
[26.32529354095459]: Sent character data
[26.342298984527588]: Sent character data
[26.35930323600769]: Sent character data
[26.37530279159546]: Sent character data
[26.39230751991272]: Sent character data
[26.40931510925293]: Sent character data
[26.42731261253357]: Sent character data
[26.443493127822876]: Sent character data
[26.46142053604126]: Sent character data
[26.478501319885254]: Sent character data
[26.495426654815674]: Sent character data
[26.512431144714355]: Sent character data
[26.52943253517151]: Sent character data
[26.54643678665161]: Sent character data
[26.562519073486328]: Sent character data
[26.579522371292114]: Sent character data
[26.596445560455322]: Sent character data
[26.613527536392212]: Sent character data
[26.630451679229736]: Sent character data
[26.647457599639893]: Sent character data
[26.665460109710693]: Sent character data
[26.681462049484253]: Sent character data
[26.699470043182373]: Sent character data
[26.7155499458313]: Sent character data
[26.732476472854614]: Sent character data
[26.74947762489319]: Sent character data
[26.766479969024658]: Sent character data
[26.784483909606934]: Sent character data
[26.800485610961914]: Sent character data
[26.817490816116333]: Sent character data
[26.835572481155396]: Sent character data
[26.851497173309326]: Sent character data
[26.868579387664795]: Sent character data
[26.885583639144897]: Sent character data
[26.902506351470947]: Sent character data
[26.919509887695312]: Sent character data
[26.93651294708252]: Sent character data
[26.95359516143799]: Sent character data
[26.97059965133667]: Sent character data
[26.987523317337036]: Sent character data
[27.004525184631348]: Sent character data
[27.021528244018555]: Sent character data
[27.038610219955444]: Sent character data
[27.05561351776123]: Sent character data
[27.072617769241333]: Sent character data
[27.089542865753174]: Sent character data
[27.10654640197754]: Sent character data
[27.123626947402954]: Sent character data
[27.140554904937744]: Sent character data
[27.158556938171387]: Sent character data
[27.174560546875]: Sent character data
[27.192563772201538]: Sent character data
[27.20956778526306]: Sent character data
[27.226571798324585]: Sent character data
[27.242573022842407]: Sent character data
[27.259576320648193]: Sent character data
[27.277753829956055]: Sent character data
[27.293758392333984]: Sent character data
[27.310683965682983]: Sent character data
[27.32668423652649]: Sent character data
[27.34468984603882]: Sent character data
[27.361697673797607]: Sent character data
[27.37877655029297]: Sent character data
[27.394870042800903]: Sent character data
[27.412794589996338]: Sent character data
[27.428879261016846]: Sent character data
[27.445880651474]: Sent character data
[27.462807178497314]: Sent character data
[27.479809045791626]: Sent character data
[27.496888875961304]: Sent character data
[27.514815092086792]: Sent character data
[27.5298171043396]: Sent character data
[27.546897649765015]: Sent character data
[27.563902616500854]: Sent character data
[27.58082675933838]: Sent character data
[27.598828554153442]: Sent character data
[27.61583971977234]: Sent character data
[27.631924867630005]: Sent character data
[27.648847341537476]: Sent character data
[27.66585063934326]: Sent character data
[27.682932376861572]: Sent character data
[27.699859857559204]: Sent character data
[27.716309547424316]: Sent character data
[27.73339080810547]: Sent character data
[27.750319480895996]: Sent character data
[27.7673237323761]: Sent character data
[27.7843234539032]: Sent character data
[27.801326274871826]: Sent character data
[27.819336652755737]: Sent character data
[27.836339712142944]: Sent character data
[27.852423906326294]: Sent character data
[27.87034583091736]: Sent character data
[27.88542938232422]: Sent character data
[27.90243411064148]: Sent character data
[27.919363021850586]: Sent character data
[27.937366724014282]: Sent character data
[27.953370094299316]: Sent character data
[27.97045397758484]: Sent character data
[27.98737668991089]: Sent character data
[28.004379510879517]: Sent character data
[28.02117681503296]: Sent character data
[28.038259744644165]: Sent character data
[28.054263591766357]: Sent character data
[28.072187423706055]: Sent character data
[28.088191032409668]: Sent character data
[28.10519528388977]: Sent character data
[28.122199058532715]: Sent character data
[28.14020276069641]: Sent character data
[28.15520191192627]: Sent character data
[28.1732075214386]: Sent character data
[28.189208269119263]: Sent character data
[28.206211805343628]: Sent character data
[28.223222494125366]: Sent character data
[28.241222143173218]: Sent character data
[28.257221937179565]: Sent character data
[28.275227785110474]: Sent character data
[28.292232513427734]: Sent character data
[28.309310913085938]: Sent character data
[28.32625126838684]: Sent character data
[28.342239379882812]: Sent character data
[28.359246969223022]: Sent character data
[28.376439332962036]: Sent character data
[28.39244246482849]: Sent character data
[28.40944766998291]: Sent character data
[28.426448583602905]: Sent character data
[28.44145154953003]: Sent character data
[28.459457397460938]: Sent character data
[28.47645878791809]: Sent character data
[28.492558479309082]: Sent character data
[28.509747982025146]: Sent character data
[28.527753353118896]: Sent character data
[28.543752193450928]: Sent character data
[28.56083631515503]: Sent character data
[28.578761339187622]: Sent character data
[28.59584069252014]: Sent character data
[28.61284351348877]: Sent character data
[28.629770278930664]: Sent character data
[28.646770477294922]: Sent character data
[28.66477656364441]: Sent character data
[28.681776762008667]: Sent character data
[28.697861433029175]: Sent character data
[28.71486496925354]: Sent character data
[28.73178744316101]: Sent character data
[28.749790906906128]: Sent character data
[28.765873432159424]: Sent character data
[28.782798290252686]: Sent character data
[28.799803256988525]: Sent character data
[28.81680464744568]: Sent character data
[28.833808183670044]: Sent character data
[28.850809812545776]: Sent character data
[28.867891788482666]: Sent character data
[28.885819673538208]: Sent character data
[28.901898860931396]: Sent character data
[28.91890549659729]: Sent character data
[28.936012029647827]: Sent character data
[28.95301866531372]: Sent character data
[28.970020294189453]: Sent character data
[28.989025592803955]: Sent character data
[29.006027460098267]: Sent character data
[29.024112224578857]: Sent character data
[29.039034605026245]: Sent character data
[29.056037425994873]: Sent character data
[29.07304096221924]: Sent character data
[29.09104347229004]: Sent character data
[29.10804796218872]: Sent character data
[29.125051498413086]: Sent character data
[29.144054412841797]: Sent character data
[29.1611385345459]: Sent character data
[29.17706060409546]: Sent character data
[29.195140838623047]: Sent character data
[29.21206831932068]: Sent character data
[29.228070974349976]: Sent character data
[29.244152545928955]: Sent character data
[29.262155532836914]: Sent character data
[29.278168201446533]: Sent character data
[29.295164108276367]: Sent character data
[29.312167406082153]: Sent character data
[29.32908844947815]: Sent character data
[29.346091985702515]: Sent character data
[29.36217474937439]: Sent character data
[29.37917947769165]: Sent character data
[29.3961021900177]: Sent character data
[29.413106203079224]: Sent character data
[29.430107593536377]: Sent character data
[29.447110891342163]: Sent character data
[29.463114738464355]: Sent character data
[29.480120420455933]: Sent character data
[29.497122764587402]: Sent character data
[29.514200925827026]: Sent character data
[29.53120231628418]: Sent character data
[29.548205614089966]: Sent character data
[29.565133094787598]: Sent character data
[29.583138704299927]: Sent character data
[29.599143028259277]: Sent character data
[29.61714482307434]: Sent character data
[29.632147550582886]: Sent character data
[29.64915132522583]: Sent character data
[29.66615319252014]: Sent character data
[29.683159828186035]: Sent character data
[29.70016121864319]: Sent character data
[29.717162609100342]: Sent character data
[29.73516845703125]: Sent character data
[29.752168893814087]: Sent character data
[29.769174575805664]: Sent character data
[29.78525733947754]: Sent character data
[29.803181886672974]: Sent character data
[29.81918478012085]: Sent character data
[29.836186170578003]: Sent character data
[29.854272842407227]: Sent character data
[29.87019395828247]: Sent character data
[29.888196229934692]: Sent character data
[29.904278993606567]: Sent character data
[29.921201944351196]: Sent character data
[29.93820595741272]: Sent character data
[29.955206155776978]: Sent character data
[29.973209857940674]: Sent character data
[29.990213871002197]: Sent character data
[30.00521492958069]: Sent character data
[30.02229952812195]: Sent character data
[30.03922152519226]: Sent character data
[30.05630588531494]: Sent character data
[30.07322931289673]: Sent character data
[30.090232849121094]: Sent character data
[30.107247591018677]: Sent character data
[30.12424325942993]: Sent character data
[30.14224600791931]: Sent character data
[30.15824818611145]: Sent character data
[30.17624831199646]: Sent character data
[30.193252563476562]: Sent character data
[30.210256338119507]: Sent character data
[30.22633671760559]: Sent character data
[30.244263172149658]: Sent character data
[30.26127576828003]: Sent character data
[30.27827000617981]: Sent character data
[30.294270515441895]: Sent character data
[30.311355352401733]: Sent character data
[30.329278707504272]: Sent character data
[30.345362186431885]: Sent character data
[30.362284421920776]: Sent character data
[30.379290103912354]: Sent character data
[30.396373748779297]: Sent character data
[30.413297653198242]: Sent character data
[30.430299758911133]: Sent character data
[30.447301149368286]: Sent character data
[30.4653058052063]: Sent character data
[30.481388330459595]: Sent character data
[30.497310876846313]: Sent character data
[30.514394998550415]: Sent character data
[30.53131651878357]: Sent character data
[30.548320770263672]: Sent character data
[30.565406322479248]: Sent character data
[30.58232831954956]: Sent character data
[30.600332021713257]: Sent character data
[30.61633563041687]: Sent character data
[30.63334035873413]: Sent character data
[30.650341987609863]: Sent character data
[30.66834568977356]: Sent character data
[30.68434762954712]: Sent character data
[30.701432943344116]: Sent character data
[30.719358921051025]: Sent character data
[30.73535704612732]: Sent character data
[30.752363204956055]: Sent character data
[30.76936364173889]: Sent character data
[30.786368370056152]: Sent character data
[30.803449869155884]: Sent character data
[30.820454835891724]: Sent character data
[30.837376594543457]: Sent character data
[30.855382680892944]: Sent character data
[30.87238645553589]: Sent character data
[30.887386322021484]: Sent character data
[30.90446972846985]: Sent character data
[30.921393871307373]: Sent character data
[30.938396692276]: Sent character data
[30.95540165901184]: Sent character data
[30.971484661102295]: Sent character data
[30.98841118812561]: Sent character data
[31.00541067123413]: Sent character data
[31.022414684295654]: Sent character data
[31.03941822052002]: Sent character data
[31.056421518325806]: Sent character data
[31.073426485061646]: Sent character data
[31.090429306030273]: Sent character data
[31.1074321269989]: Sent character data
[31.12543511390686]: Sent character data
[31.141439199447632]: Sent character data
[31.159453630447388]: Sent character data
[31.17643976211548]: Sent character data
[31.192442655563354]: Sent character data
[31.20944857597351]: Sent character data
[31.22745132446289]: Sent character data
[31.243533849716187]: Sent character data
[31.260456085205078]: Sent character data
[31.278460264205933]: Sent character data
[31.295464515686035]: Sent character data
[31.312472343444824]: Sent character data
[31.328472137451172]: Sent character data
[31.3455548286438]: Sent character data
[31.362477779388428]: Sent character data
[31.379481077194214]: Sent character data
[31.396482944488525]: Sent character data
[31.414567232131958]: Sent character data
[31.430570363998413]: Sent character data
[31.447493314743042]: Sent character data
[31.465496301651]: Sent character data
[31.481499433517456]: Sent character data
[31.498505115509033]: Sent character data
[31.516506671905518]: Sent character data
[31.53251004219055]: Sent character data
[31.54951500892639]: Sent character data
[31.56751775741577]: Sent character data
[31.5835223197937]: Sent character data
[31.6005220413208]: Sent character data
[31.617526292800903]: Sent character data
[31.63552975654602]: Sent character data
[31.652535676956177]: Sent character data
[31.66753602027893]: Sent character data
[31.685542345046997]: Sent character data
[31.701621770858765]: Sent character data
[31.71854853630066]: Sent character data
[31.73655128479004]: Sent character data
[31.752633571624756]: Sent character data
[31.769556045532227]: Sent character data
[31.78756093978882]: Sent character data
[31.80456233024597]: Sent character data
[31.821645975112915]: Sent character data
[31.83764886856079]: Sent character data
[31.854572057724]: Sent character data
[31.871574640274048]: Sent character data
[31.88957929611206]: Sent character data
[31.905582904815674]: Sent character data
[31.922584533691406]: Sent character data
[31.93858790397644]: Sent character data
[31.955591201782227]: Sent character data
[31.972595691680908]: Sent character data
[31.989601135253906]: Sent character data
[32.00660181045532]: Sent character data
[32.02360701560974]: Sent character data
[32.04060697555542]: Sent character data
[32.05761122703552]: Sent character data
[32.07561707496643]: Sent character data
[32.09261965751648]: Sent character data
[32.1096248626709]: Sent character data
[32.12562656402588]: Sent character data
[32.14362859725952]: Sent character data
[32.16063165664673]: Sent character data
[32.17563438415527]: Sent character data
[32.19363737106323]: Sent character data
[32.21083211898804]: Sent character data
[32.22791314125061]: Sent character data
[32.24483871459961]: Sent character data
[32.26184129714966]: Sent character data
[32.277843713760376]: Sent character data
[32.295849084854126]: Sent character data
[32.31193137168884]: Sent character data
[32.328935384750366]: Sent character data
[32.3458571434021]: Sent character data
[32.36293864250183]: Sent character data
[32.37986636161804]: Sent character data
[32.39686727523804]: Sent character data
[32.41387224197388]: Sent character data
[32.43095088005066]: Sent character data
[32.44907069206238]: Sent character data
[32.46615386009216]: Sent character data
[32.48307752609253]: Sent character data
[32.50007915496826]: Sent character data
[32.5171639919281]: Sent character data
[32.535167932510376]: Sent character data
[32.552088499069214]: Sent character data
[32.56817293167114]: Sent character data
[32.586095333099365]: Sent character data
